id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,studyability,niche_score
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.31,0.22
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.88,0.61
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.12,0.45
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.91,0.58
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.08,0.19
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.85,0.72
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.79,0.55
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.44,0.67
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.93,0.60
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.38,0.48
11,Rainy Season Blues,The Hollow,folk,melancholic,0.31,68,0.33,0.45,0.91,0.72,0.76
12,Frequency Drop,Bass Theory,electronic,energetic,0.88,140,0.72,0.94,0.04,0.15,0.54
13,Velvet Evenings,Soulstice,r&b,romantic,0.55,88,0.78,0.69,0.42,0.52,0.43
14,Ancient Echoes,Meridian Strings,classical,melancholic,0.24,52,0.41,0.33,0.97,0.94,0.81
15,Block Party,The Groove Collective,hip-hop,energetic,0.84,96,0.81,0.91,0.08,0.11,0.38
16,Iron Cathedral,Vortex Hammer,metal,angry,0.97,168,0.29,0.61,0.06,0.05,0.82
17,Golden Hour,Marigold,soul,uplifting,0.62,104,0.88,0.76,0.55,0.57,0.49
18,Dreamweaver,Pastel Haze,dreampop,dreamy,0.48,85,0.67,0.58,0.63,0.69,0.88
